,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
228,222,Rico Dowdle,DAL,25,RB,16,0,22,17,77.3%,144,8.5,2,6,40.9,32,6.5,1.1,9.0,0
229,223,Clyde Edwards-Helaire,KAN,24,RB,15,3,22,17,77.3%,188,11.1,1,7,50.0,48,8.5,1.1,12.5,0
230,224,Brevin Jordan,HOU,23,TE,14,6,21,17,81.0%,219,12.9,2,13,81.0,27,10.4,1.2,15.6,0
231,225,Johnny Mundt,MIN,29,TE,17,0,23,17,73.9%,172,10.1,1,8,52.2,32,7.5,1.0,10.1,0
232,226,Latavius Murray,BUF,33,RB,16,4,22,17,77.3%,119,7.0,0,7,45.5,22,5.4,1.1,7.4,1
233,227,Tyler Scott,CHI,22,WR,17,4,32,17,53.1%,168,9.9,0,10,43.8,30,5.3,1.0,9.9,1
234,228,Deven Thompkins,TAM,24,WR,17,1,25,17,68.0%,83,4.9,1,5,32.0,26,3.3,1.0,4.9,3
235,229,Salvon Ahmed,MIA,25,RB,8,0,23,16,69.6%,88,5.5,1,4,30.4,20,3.8,2.0,11.0,0
236,230,Treylon Burks,TEN,23,WR,11,9,30,16,53.3%,221,13.8,0,8,43.3,70,7.4,1.5,20.1,0
237,231,Jamison Crowder,WAS,30,WR,17,0,20,16,80.0%,159,9.9,1,8,60.0,26,8.0,0.9,9.4,2
238,232,Alex Erickson,LAC,31,WR,8,3,29,16,55.2%,232,14.5,1,12,48.3,27,8.0,2.0,29.0,0
239,233,Bo Melton,GNB,24,WR,5,1,24,16,66.7%,218,13.6,1,13,62.5,37,9.1,3.2,43.6,0
240,234,John Metchie,HOU,23,WR,16,0,30,16,53.3%,158,9.9,0,7,43.3,22,5.3,1.0,9.9,0
241,235,David Montgomery,DET,26,RB,14,14,24,16,66.7%,117,7.3,0,7,54.2,19,4.9,1.1,8.4,2
242,236,Jeremy Ruckert,NYJ,23,TE,15,6,22,16,72.7%,151,9.4,0,6,50.0,23,6.9,1.1,10.1,0
243,237,Parker Washington,JAX,21,WR,9,1,21,16,76.2%,132,8.3,2,5,52.4,19,6.3,1.8,14.7,2
244,238,Jordan Akins,CLE,31,TE,17,4,23,15,65.2%,132,8.8,0,6,52.2,28,5.7,0.9,7.8,0
245,239,Dalvin Cook,2TM,28,,15,1,20,15,75.0%,78,5.2,0,0,0.0,15,3.9,1.0,5.2,2
246,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
247,240,Derius Davis,LAC,23,WR,17,2,17,15,88.2%,66,4.4,0,0,23.5,18,3.9,0.9,3.9,3
248,241,Mecole Hardman,2TM,25,WR,11,2,24,15,62.5%,124,8.3,0,8,50.0,37,5.2,1.4,11.3,1
249,242,Deonte Harty,BUF,26,WR,16,1,21,15,71.4%,150,10.0,1,9,52.4,43,7.1,0.9,9.4,2
250,243,Malik Heath,GNB,23,WR,13,1,24,15,62.5%,125,8.3,1,6,41.7,16,5.2,1.2,9.6,0
251,244,Kareem Hunt,CLE,28,RB,15,2,21,15,71.4%,84,5.6,0,5,38.1,13,4.0,1.0,5.6,0
252,245,Andrei Iosivas,CIN,24,WR,16,1,25,15,60.0%,116,7.7,4,11,60.0,16,4.6,0.9,7.3,0
253,246,Kyle Philips,TEN,24,WR,9,0,22,15,68.2%,181,12.1,0,9,50.0,29,8.2,1.7,20.1,1
254,247,Quez Watkins,PHI,25,WR,9,5,21,15,71.4%,142,9.5,1,8,61.9,19,6.8,1.7,15.8,0
255,248,Zamir White,LVR,24,RB,17,4,19,15,78.9%,98,6.5,0,4,52.6,15,5.2,0.9,5.8,1
256,249,Jamal Agnew,JAX,28,WR,11,1,21,14,66.7%,225,16.1,1,8,57.1,65,10.7,1.3,20.5,1
257,250,David Bell,CLE,23,WR,15,3,23,14,60.9%,167,11.9,3,9,47.8,41,7.3,0.9,11.1,0
258,251,Chase Brown,CIN,23,RB,12,0,15,14,93.3%,156,11.1,1,4,53.3,54,10.4,1.2,13.0,1
259,252,Chase Edmonds,TAM,27,RB,13,0,17,14,82.4%,81,5.8,0,5,58.8,14,4.8,1.1,6.2,0
260,253,Elijah Higgins,ARI,23,TE,11,2,19,14,73.7%,163,11.6,1,9,52.6,26,8.6,1.3,14.8,0
261,254,KhaDarel Hodge,ATL,28,WR,17,4,23,14,60.9%,232,16.6,0,13,60.9,52,10.1,0.8,13.6,1
262,255,Kyle Juszczyk*+,SFO,32,FB,17,16,17,14,82.4%,119,8.5,2,8,82.4,22,7.0,0.8,7.0,0
263,256,Byron Pringle,WAS,30,WR,17,1,22,14,63.6%,161,11.5,0,7,40.9,26,7.3,0.8,9.5,1
264,257,Jeff Wilson,MIA,28,RB,10,0,17,14,82.4%,85,6.1,0,3,29.4,12,5.0,1.4,8.5,0
265,258,Mo Alie-Cox,IND,30,TE,17,7,22,13,59.1%,161,12.4,3,9,45.5,35,7.3,0.8,9.5,0
266,259,Pharaoh Brown,NWE,29,TE,17,11,15,13,86.7%,208,16.0,1,8,66.7,58,13.9,0.8,12.2,1
267,260,Harrison Bryant,CLE,25,TE,17,9,20,13,65.0%,81,6.2,3,4,50.0,23,4.1,0.8,4.8,1
268,261,Luke Farrell,JAX,26,TE,17,8,15,13,86.7%,155,11.9,0,5,73.3,42,10.3,0.8,9.1,0
269,262,Lil'Jordan Humphrey,DEN,25,WR,17,8,19,13,68.4%,162,12.5,3,9,63.2,54,8.5,0.8,9.5,0
270,263,Alec Ingold*,MIA,27,FB,17,13,16,13,81.3%,119,9.2,0,5,62.5,23,7.4,0.8,7.0,0
271,264,Donovan Peoples-Jones,2TM,24,WR,15,6,25,13,52.0%,155,11.9,0,7,40.0,29,6.2,0.9,10.3,1
272,265,Dameon Pierce,HOU,23,RB,14,7,17,13,76.5%,101,7.8,0,3,52.9,27,5.9,0.9,7.2,0
273,266,Tyquan Thornton,NWE,23,WR,9,3,23,13,56.5%,91,7.0,0,3,17.4,15,4.0,1.4,10.1,0
274,267,Brock Wright,DET,25,TE,14,4,14,13,92.9%,91,7.0,1,2,64.3,25,6.5,0.9,6.5,0
275,268,Dyami Brown,WAS,24,WR,17,1,23,12,52.2%,168,14.0,1,8,47.8,35,7.3,0.7,9.9,0
276,269,Gus Edwards,BAL,28,RB,17,9,13,12,92.3%,180,15.0,0,5,69.2,80,13.8,0.7,10.6,3
277,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
278,270,Ray-Ray McCloud,SFO,27,WR,12,1,15,12,80.0%,135,11.3,0,7,66.7,41,9.0,1.0,11.3,1
279,271,A.T. Perry,NOR,24,WR,10,3,18,12,66.7%,246,20.5,4,10,61.1,44,13.7,1.2,24.6,0
280,272,Stephen Sullivan,CAR,27,TE,11,0,24,12,50.0%,125,10.4,0,5,37.5,20,5.2,1.1,11.4,0
281,273,KaVontae Turpin,DAL,27,WR,16,0,18,12,66.7%,127,10.6,3,9,61.1,34,7.1,0.8,7.9,1
282,274,Cam Akers,2TM,24,RB,7,1,12,11,91.7%,70,6.4,0,2,50.0,30,5.8,1.6,10.0,0
283,275,Andrew Beck,HOU,27,FB,15,12,13,11,84.6%,55,5.0,2,4,53.8,26,4.2,0.7,3.7,1
284,276,Lynn Bowden Jr.,NOR,26,WR,15,3,16,11,68.8%,83,7.5,0,2,37.5,17,5.2,0.7,5.5,1
285,277,D'Onta Foreman,CHI,27,RB,9,8,16,11,68.8%,77,7.0,1,6,43.8,17,4.8,1.2,8.6,1
286,278,Julio Jones,PHI,34,WR,11,4,19,11,57.9%,74,6.7,3,4,31.6,22,3.9,1.0,6.7,0
287,279,Tim Jones,JAX,25,WR,17,2,18,11,61.1%,83,7.5,0,4,38.9,15,4.6,0.6,4.9,0
288,280,Isaiah McKenzie,IND,28,WR,13,2,14,11,78.6%,82,7.5,0,4,35.7,30,5.9,0.8,6.3,3
289,281,Scott Miller,ATL,26,WR,17,0,16,11,68.8%,161,14.6,2,6,50.0,56,10.1,0.6,9.5,0
290,282,Trent Sherfield,BUF,27,WR,17,1,22,11,50.0%,86,7.8,1,4,40.9,12,3.9,0.6,5.1,0
291,283,Stone Smartt,LAC,25,TE,16,3,21,11,52.4%,155,14.1,1,6,42.9,51,7.4,0.7,9.7,0
292,284,Patrick Taylor,GNB,25,RB,11,0,17,11,64.7%,49,4.5,0,4,29.4,16,2.9,1.0,4.5,0
293,285,Robert Tonyan,CHI,29,TE,17,6,17,11,64.7%,112,10.2,0,6,47.1,24,6.6,0.6,6.6,0
294,286,Cole Turner,WAS,23,TE,12,1,15,11,73.3%,120,10.9,0,4,60.0,29,8.0,0.9,10.0,0
295,287,Davis Allen,LAR,22,TE,15,1,11,10,90.9%,95,9.5,1,7,81.8,21,8.6,0.7,6.3,0
296,288,Jalen Guyton,LAC,26,WR,8,3,21,10,47.6%,89,8.9,1,6,38.1,18,4.2,1.3,11.1,0
297,289,Darrell Henderson,LAR,26,RB,4,4,14,10,71.4%,103,10.3,0,3,28.6,32,7.4,2.5,25.8,0
298,290,Richie James,KAN,28,WR,9,1,14,10,71.4%,114,11.4,0,5,57.1,45,8.1,1.1,12.7,2
299,291,D'Ernest Johnson,JAX,27,RB,17,0,12,10,83.3%,140,14.0,0,6,50.0,42,11.7,0.6,8.2,0
300,292,Kendre Miller,NOR,21,RB,8,0,11,10,90.9%,117,11.7,0,5,54.5,33,10.6,1.3,14.6,0
301,293,Laviska Shenault Jr.,CAR,25,WR,8,0,10,10,100.0%,60,6.0,0,2,30.0,14,6.0,1.3,7.5,1
302,294,Sterling Shepard,NYG,30,WR,15,2,22,10,45.5%,57,5.7,1,4,22.7,13,2.6,0.7,3.8,1
303,295,Geoff Swaim,ARI,30,TE,14,8,11,10,90.9%,94,9.4,0,4,72.7,26,8.5,0.7,6.7,0
304,296,Olamide Zaccheaus,PHI,26,WR,17,1,20,10,50.0%,164,16.4,2,7,50.0,34,8.2,0.6,9.6,0
305,297,River Cracraft,MIA,29,WR,10,1,12,9,75.0%,121,13.4,1,8,66.7,24,10.1,0.9,12.1,0
306,298,Keaton Mitchell,BAL,21,RB,8,2,11,9,81.8%,93,10.3,0,5,63.6,32,8.5,1.1,11.6,0
307,299,Andrew Ogletree,IND,25,TE,12,9,21,9,42.9%,147,16.3,2,8,38.1,33,7.0,0.8,12.3,0
308,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
309,300,Cordarrelle Patterson,ATL,32,RB,14,0,12,9,75.0%,38,4.2,1,2,33.3,11,3.2,0.6,2.7,1
310,301,MyCole Pruitt,ATL,31,TE,17,8,12,9,75.0%,110,12.2,1,6,66.7,22,9.2,0.5,6.5,1
311,302,Josh Whyle,TEN,24,TE,11,3,15,9,60.0%,94,10.4,1,8,60.0,24,6.3,0.8,8.5,0
312,303,Mitchell Wilcox,CIN,27,TE,17,4,12,9,75.0%,56,6.2,0,2,50.0,12,4.7,0.5,3.3,0
313,304,Chase Claypool,2TM,25,WR,12,2,21,8,38.1%,77,9.6,1,4,23.8,20,3.7,0.7,6.4,0
314,305,Josiah Deguara,GNB,26,TE,15,4,8,8,100.0%,65,8.1,0,3,75.0,19,8.1,0.5,4.3,0
315,306,Xavier Hutchinson,HOU,23,WR,16,0,19,8,42.1%,90,11.3,0,3,21.1,34,4.7,0.5,5.6,0
316,307,Joshua Kelley,LAC,26,RB,17,3,12,8,66.7%,32,4.0,0,0,33.3,6,2.7,0.5,1.9,1
317,308,Lucas Krull,DEN,25,TE,7,2,14,8,57.1%,95,11.9,1,5,42.9,35,6.8,1.1,13.6,0
318,309,Luke Schoonmaker,DAL,25,TE,17,0,15,8,53.3%,65,8.1,2,5,40.0,18,4.3,0.5,3.8,0
319,310,Ben Skowronek,LAR,26,WR,17,0,12,8,66.7%,66,8.3,1,3,41.7,20,5.5,0.5,3.9,0
320,311,Ihmir Smith-Marsette,CAR,24,WR,17,0,10,8,80.0%,51,6.4,0,5,50.0,18,5.1,0.5,3.0,2
321,312,Samori Toure,GNB,25,WR,11,0,18,8,44.4%,78,9.8,0,4,27.8,35,4.3,0.7,7.1,1
322,313,C.J. Uzomah,NYJ,30,TE,12,8,12,8,66.7%,58,7.3,1,5,58.3,19,4.8,0.7,4.8,0
323,314,Israel Abanikanda,NYJ,21,RB,6,0,11,7,63.6%,43,6.1,0,2,36.4,13,3.9,1.2,7.2,1
324,315,Mike Boone,HOU,28,S,9,0,9,7,77.8%,40,5.7,0,2,44.4,12,4.4,0.8,4.4,1
325,316,Darrynton Evans,2TM,25,RB,7,0,12,7,58.3%,49,7.0,0,2,33.3,17,4.1,1.0,7.0,0
326,317,C.J. Ham*,MIN,30,FB,17,5,9,7,77.8%,25,3.6,0,1,33.3,7,2.8,0.4,1.5,0
327,318,Ty Johnson,BUF,26,RB,10,0,7,7,100.0%,62,8.9,1,2,71.4,28,8.9,0.7,6.2,1
328,319,Charlie Jones,CIN,25,WR,11,0,9,7,77.8%,64,9.1,0,3,44.4,35,7.1,0.6,5.8,0
329,320,Tony Jones,2TM,26,RB,7,1,10,7,70.0%,37,5.3,0,1,20.0,11,3.7,1.0,5.3,0
330,321,Charlie Kolar,BAL,24,TE,15,3,9,7,77.8%,87,12.4,1,5,77.8,19,9.7,0.5,5.8,0
331,322,Jalen Reagor,NWE,24,WR,11,1,23,7,30.4%,138,19.7,0,5,21.7,39,6.0,0.6,12.5,0
332,323,Deuce Vaughn,DAL,22,RB,7,0,7,7,100.0%,40,5.7,0,1,42.9,11,5.7,1.0,5.7,0
333,324,Darnell Washington,PIT,22,TE,17,7,10,7,70.0%,61,8.7,0,4,60.0,12,6.1,0.4,3.6,0
334,325,Trayveon Williams,CIN,26,RB,17,0,9,7,77.8%,10,1.4,0,0,11.1,5,1.1,0.4,0.6,0
335,326,Ronnie Bell,SFO,23,WR,17,0,13,6,46.2%,68,11.3,3,5,46.2,20,5.2,0.4,4.0,1
336,327,Raheem Blackshear,CAR,24,RB,12,0,7,6,85.7%,45,7.5,0,1,71.4,19,6.4,0.5,3.8,0
337,328,Jalen Brooks,DAL,23,WR,7,0,6,6,100.0%,64,10.7,0,4,83.3,24,10.7,0.9,9.1,0
338,329,DeeJay Dallas,SEA,25,RB,17,0,9,6,66.7%,26,4.3,0,1,11.1,14,2.9,0.4,1.5,2
339,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
340,330,Keelan Doss,LAC,27,WR,5,0,13,6,46.2%,33,5.5,0,1,23.1,9,2.5,1.2,6.6,0
341,331,Tyler Goodson,IND,23,RB,6,1,9,6,66.7%,34,5.7,0,1,55.6,15,3.8,1.0,5.7,0
342,332,Jimmy Graham,NOR,37,TE,13,2,7,6,85.7%,39,6.5,4,6,85.7,12,5.6,0.5,3.0,0
343,333,Eric Gray,NYG,24,RB,13,0,7,6,85.7%,22,3.7,0,0,0.0,9,3.1,0.5,1.7,3
344,334,Julian Hill,MIA,23,TE,15,4,9,6,66.7%,48,8.0,0,2,55.6,18,5.3,0.4,3.2,1
345,335,Elijah Mitchell,SFO,25,RB,11,1,8,6,75.0%,14,2.3,0,2,37.5,9,1.8,0.5,1.3,0
346,336,Justyn Ross,KAN,24,WR,10,1,11,6,54.5%,53,8.8,0,2,45.5,20,4.8,0.6,5.3,0
347,337,Isaiah Spiller,LAC,22,RB,9,0,6,6,100.0%,34,5.7,0,1,66.7,10,5.7,0.7,3.8,0
348,338,Blake Bell,KAN,32,TE,17,3,9,5,55.6%,26,5.2,1,1,44.4,8,2.9,0.3,1.5,1
349,339,Gary Brightwell,NYG,24,RB,7,0,7,5,71.4%,47,9.4,0,2,42.9,18,6.7,0.7,6.7,0
350,340,Jason Brownlee,NYJ,24,WR,7,5,8,5,62.5%,56,11.2,1,2,50.0,24,7.0,0.7,8.0,0
351,341,Randall Cobb,NYJ,33,WR,11,1,17,5,29.4%,39,7.8,1,3,17.6,15,2.3,0.5,3.5,0
352,342,Payne Durham,TAM,23,TE,13,2,7,5,71.4%,58,11.6,0,3,71.4,25,8.3,0.4,4.5,0
353,343,Brycen Hopkins,LAR,26,TE,15,0,7,5,71.4%,78,15.6,0,3,57.1,29,11.1,0.3,5.2,0
354,344,Deon Jackson,3TM,24,RB,4,1,6,5,83.3%,14,2.8,0,0,33.3,8,2.3,1.3,3.5,2
355,345,Marvin Jones,DET,33,WR,6,4,10,5,50.0%,35,7.0,0,2,30.0,16,3.5,0.8,5.8,1
356,346,Keith Kirkwood,NOR,29,WR,13,4,9,5,55.6%,37,7.4,1,3,44.4,13,4.1,0.4,2.8,0
357,347,Ty Montgomery,NWE,30,RB,13,0,12,5,41.7%,40,8.0,0,3,33.3,17,3.3,0.4,3.1,0
358,348,David Moore,TAM,28,WR,7,0,7,5,71.4%,94,18.8,1,3,71.4,52,13.4,0.7,13.4,0
359,349,Craig Reynolds,DET,27,RB,17,0,5,5,100.0%,47,9.4,0,2,60.0,28,9.4,0.3,2.8,2
360,350,Patrick Ricard,BAL,29,FB,17,9,7,5,71.4%,52,10.4,1,3,42.9,28,7.4,0.3,3.1,0
361,351,Ronnie Rivers,LAR,24,RB,9,1,5,5,100.0%,22,4.4,0,0,40.0,10,4.4,0.6,2.4,0
362,352,Equanimeous St. Brown,CHI,27,WR,7,2,6,5,83.3%,62,12.4,0,3,83.3,21,10.3,0.7,8.9,0
363,353,Jack Stoll,PHI,25,TE,17,10,8,5,62.5%,38,7.6,0,2,50.0,14,4.8,0.3,2.2,0
364,354,Brenton Strange,JAX,23,TE,14,4,9,5,55.6%,35,7.0,1,2,22.2,17,3.9,0.4,2.5,0
365,355,Pierre Strong,CLE,25,RB,17,1,8,5,62.5%,47,9.4,0,1,25.0,41,5.9,0.3,2.8,1
366,356,Ian Thomas,CAR,27,TE,12,5,9,5,55.6%,56,11.2,0,1,33.3,28,6.2,0.4,4.7,0
367,357,Nate Adkins,DEN,24,TE,10,1,5,4,80.0%,22,5.5,0,1,20.0,11,4.4,0.4,2.2,0
368,358,Lawrence Cager,NYG,26,TE,11,0,5,4,80.0%,36,9.0,1,2,60.0,10,7.2,0.4,3.3,0
369,359,Grant Calcaterra,PHI,25,TE,15,1,4,4,100.0%,39,9.8,0,3,100.0,12,9.8,0.3,2.6,0
370,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
371,360,DeAndre Carter,LVR,30,WR,17,1,7,4,57.1%,39,9.8,0,0,28.6,16,5.6,0.2,2.3,2
372,361,Robbie Chosen,MIA,30,WR,9,0,6,4,66.7%,126,31.5,1,3,66.7,68,21.0,0.4,14.0,0
373,362,Nick Chubb,CLE,28,RB,2,2,4,4,100.0%,21,5.3,0,1,50.0,10,5.3,2.0,10.5,0
374,363,Britain Covey,PHI,26,WR,16,0,6,4,66.7%,42,10.5,0,2,66.7,22,7.0,0.3,2.6,2
375,364,Devin Duvernay,BAL,26,WR,13,1,9,4,44.4%,18,4.5,0,0,11.1,10,2.0,0.3,1.4,0
376,365,Marquise Goodwin,CLE,33,WR,12,0,13,4,30.8%,67,16.8,0,1,7.7,57,5.2,0.3,5.6,0
377,366,Peyton Hendershot,DAL,24,TE,8,1,7,4,57.1%,38,9.5,0,1,42.9,24,5.4,0.5,4.8,0
378,367,Keaontay Ingram,ARI,24,RB,8,1,4,4,100.0%,26,6.5,0,1,50.0,9,6.5,0.5,3.3,0
379,368,Rakim Jarrett,TAM,22,WR,10,0,9,4,44.4%,60,15.0,0,1,33.3,41,6.7,0.4,6.0,0
380,369,Velus Jones Jr.,CHI,26,WR,14,0,7,4,57.1%,20,5.0,0,1,42.9,11,2.9,0.3,1.4,0
381,370,Marcedes Lewis,CHI,39,TE,17,4,5,4,80.0%,29,7.3,1,2,80.0,16,5.8,0.2,1.7,0
382,371,Zach Pascal,ARI,29,WR,14,1,15,4,26.7%,19,4.8,0,1,20.0,9,1.3,0.3,1.4,0
383,372,Boston Scott,PHI,28,RB,15,0,6,4,66.7%,52,13.0,0,2,33.3,27,8.7,0.3,3.5,1
384,373,Ben Sims,GNB,23,TE,17,1,6,4,66.7%,21,5.3,1,3,66.7,12,3.5,0.2,1.2,0
385,374,Austin Trammell,LAR,25,WR,16,0,7,4,57.1%,29,7.3,0,2,28.6,14,4.1,0.3,1.8,3
386,375,Emanuel Wilson,GNB,24,RB,7,0,5,4,80.0%,23,5.8,0,1,80.0,9,4.6,0.6,3.3,1
387,376,Alex Armah,WAS,29,RB,8,0,3,3,100.0%,13,4.3,0,1,33.3,10,4.3,0.4,1.6,0
388,377,Nick Bawden,NYJ,27,FB,16,2,3,3,100.0%,21,7.0,0,1,66.7,8,7.0,0.2,1.3,0
389,378,Khari Blasingame,CHI,27,FB,16,2,6,3,50.0%,2,0.7,0,0,16.7,4,0.3,0.2,0.1,0
390,379,Miles Boykin,PIT,27,WR,17,0,4,3,75.0%,17,5.7,0,0,50.0,6,4.3,0.2,1.0,0
391,380,Michael Burton,DEN,31,FB,17,3,3,3,100.0%,8,2.7,0,2,66.7,4,2.7,0.2,0.5,0
392,381,Chris Conley,SFO,31,WR,8,0,6,3,50.0%,69,23.0,0,2,33.3,48,11.5,0.4,8.6,0
393,382,Elijah Cooks,JAX,25,WR,9,0,4,3,75.0%,38,12.7,0,2,50.0,23,9.5,0.3,4.2,0
394,383,Jashaun Corbin,NYG,23,RB,6,0,3,3,100.0%,12,4.0,0,1,33.3,7,4.0,0.5,2.0,0
395,384,Greg Dulcich,DEN,23,TE,2,1,4,3,75.0%,25,8.3,0,2,50.0,13,6.3,1.5,12.5,0
396,385,Melvin Gordon,BAL,30,RB,4,0,3,3,100.0%,46,15.3,0,3,100.0,23,15.3,0.8,11.5,1
397,386,Kevin Harris,NWE,23,RB,4,0,3,3,100.0%,58,19.3,0,2,66.7,48,19.3,0.8,14.5,0
398,387,Hunter Luepke,DAL,23,RB,17,0,4,3,75.0%,18,6.0,0,1,50.0,12,4.5,0.2,1.1,0
399,388,Jordan Mason,SFO,24,RB,17,0,4,3,75.0%,31,10.3,0,1,50.0,13,7.8,0.2,1.8,0
400,389,D.J. Montgomery,IND,27,WR,7,0,8,3,37.5%,56,18.7,1,3,37.5,34,7.0,0.4,8.0,0
401,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
402,390,Jalen Nailor,MIN,24,WR,6,1,6,3,50.0%,29,9.7,0,1,33.3,16,4.8,0.5,4.8,0
403,391,La'Mical Perine,KAN,25,RB,3,1,5,3,60.0%,33,11.0,0,1,20.0,25,6.6,1.0,11.0,0
404,392,Eric Saubert,2TM,29,TE,10,1,3,3,100.0%,12,4.0,0,1,100.0,5,4.0,0.3,1.2,0
405,393,Trey Sermon,IND,24,RB,14,0,6,3,50.0%,13,4.3,0,0,33.3,7,2.2,0.2,0.9,0
406,394,Steven Sims,HOU,26,WR,3,0,3,3,100.0%,25,8.3,0,1,33.3,23,8.3,1.0,8.3,0
407,395,Keith Smith,ATL,31,FB,13,6,3,3,100.0%,33,11.0,0,1,66.7,28,11.0,0.2,2.5,0
408,396,Charlie Woerner,SFO,26,TE,17,2,3,3,100.0%,32,10.7,0,1,66.7,20,10.7,0.2,1.9,0
409,397,Kayshon Boutte,NWE,21,WR,5,0,7,2,28.6%,19,9.5,0,1,28.6,11,2.7,0.4,3.8,0
410,398,J.K. Dobbins,BAL,25,RB,1,1,3,2,66.7%,15,7.5,0,0,66.7,10,5.0,2.0,15.0,0
411,399,Elijah Dotson,LAC,24,RB,4,0,2,2,100.0%,13,6.5,0,0,100.0,7,6.5,0.5,3.3,0
412,400,Kenyan Drake,2TM,29,RB,3,0,3,2,66.7%,31,15.5,0,0,66.7,24,10.3,0.7,10.3,1
413,401,Damien Harris,BUF,26,RB,6,0,2,2,100.0%,16,8.0,0,0,0.0,13,8.0,0.3,2.7,0
414,402,Trishton Jackson,MIN,25,WR,7,0,4,2,50.0%,9,4.5,0,0,0.0,7,2.3,0.3,1.3,0
415,403,Tyler Johnson,LAR,25,WR,1,0,3,2,66.7%,8,4.0,1,1,33.3,8,2.7,2.0,8.0,0
416,404,Chris Manhertz,DEN,31,TE,16,4,4,2,50.0%,16,8.0,0,1,50.0,10,4.0,0.1,1.0,0
417,405,Anthony McFarland Jr.,PIT,25,RB,3,0,2,2,100.0%,11,5.5,0,1,100.0,6,5.5,0.7,3.7,0
418,406,James Mitchell,DET,24,TE,15,1,2,2,100.0%,28,14.0,0,1,100.0,24,14.0,0.1,1.9,0
419,407,Quintin Morris,BUF,24,TE,15,0,3,2,66.7%,26,13.0,1,1,33.3,15,8.7,0.1,1.7,0
420,408,Dare Ogunbowale,HOU,29,RB,12,0,7,2,28.6%,18,9.0,0,0,0.0,14,2.6,0.2,1.5,0
421,409,Adam Prentice,NOR,26,FB,13,1,3,2,66.7%,12,6.0,0,0,33.3,7,4.0,0.2,0.9,1
422,410,Teagan Quitoriano,HOU,23,TE,7,5,3,2,66.7%,33,16.5,0,2,66.7,22,11.0,0.3,4.7,0
423,411,Chris Rodriguez,WAS,23,RB,13,0,2,2,100.0%,12,6.0,0,1,100.0,7,6.0,0.2,0.9,1
424,412,Willie Snead,SFO,31,WR,4,0,3,2,66.7%,14,7.0,0,0,66.7,9,4.7,0.5,3.5,0
425,413,Malik Taylor,NYJ,28,WR,3,0,4,2,50.0%,13,6.5,0,0,25.0,7,3.3,0.7,4.3,0
426,414,Sean Tucker,TAM,22,RB,11,0,2,2,100.0%,9,4.5,0,0,50.0,6,4.5,0.2,0.8,0
427,415,Ke'Shawn Vaughn,TAM,26,RB,6,0,5,2,40.0%,2,1.0,0,0,0.0,3,0.4,0.3,0.3,0
428,416,David Wells,TAM,28,TE,5,0,2,2,100.0%,-10,-5.0,0,1,50.0,1,-5.0,0.4,-2.0,1
429,417,Damien Williams,ARI,31,RB,3,0,2,2,100.0%,12,6.0,0,0,50.0,8,6.0,0.7,4.0,0
430,418,Kenny Yeboah,NYJ,25,TE,5,1,4,2,50.0%,28,14.0,0,1,50.0,20,7.0,0.4,5.6,0
431,419,Tank Bigsby,JAX,22,RB,17,0,4,1,25.0%,6,6.0,0,0,25.0,6,1.5,0.1,0.4,2
432,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
433,420,Ben Bredeson,NYG,25,G,16,16,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,0
434,421,Jake Browning,CIN,27,QB,9,7,1,1,100.0%,-7,-7.0,0,0,0.0,-7,-7.0,0.1,-0.8,3
435,422,Khalil Dorsey,DET,25,CB,13,2,1,1,100.0%,31,31.0,0,1,100.0,31,31.0,0.1,2.4,0
436,423,Colton Dowell,TEN,24,WR,10,1,2,1,50.0%,3,3.0,0,0,0.0,3,1.5,0.1,0.3,0
437,424,Ross Dwelley,SFO,28,TE,12,0,2,1,50.0%,12,12.0,0,1,50.0,12,6.0,0.1,1.0,0
438,425,Brandin Echols,NYJ,26,CB,14,1,1,1,100.0%,18,18.0,0,1,100.0,18,18.0,0.1,1.3,0
439,426,Chris Evans,CIN,26,RB,8,0,1,1,100.0%,-1,-1.0,0,0,0.0,-1,-1.0,0.1,-0.1,0
