,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
95,93,Mark Andrews,BAL,28,TE,10,9,61,45,73.8%,544,12.1,6,27,62.3,38,8.9,4.5,54.4,1
96,94,Gabriel Davis,BUF,24,WR,17,17,81,45,55.6%,746,16.6,7,34,53.1,57,9.2,2.6,43.9,1
97,95,James Cook*,BUF,24,RB,17,13,54,44,81.5%,445,10.1,4,16,59.3,48,8.2,2.6,26.2,4
98,96,Jerome Ford,CLE,24,RB,17,12,63,44,69.8%,319,7.3,5,16,41.3,50,5.1,2.6,18.8,1
99,97,Isiah Pacheco,KAN,24,RB,14,13,49,44,89.8%,244,5.5,2,12,44.9,33,5.0,3.1,17.4,1
100,98,Jonathan Mingo,CAR,22,WR,15,14,85,43,50.6%,418,9.7,0,15,32.9,40,4.9,2.9,27.9,1
101,99,Hunter Henry,NWE,29,TE,14,10,61,42,68.9%,419,10.0,6,29,63.9,24,6.9,3.0,29.9,1
102,100,Tee Higgins,CIN,24,WR,12,11,76,42,55.3%,656,15.6,5,33,53.9,80,8.6,3.5,54.7,0
103,101,Saquon Barkley,NYG,26,RB,14,14,60,41,68.3%,280,6.8,4,16,43.3,46,4.7,2.9,20.0,2
104,102,Rondale Moore,ARI,23,WR,17,8,62,40,64.5%,352,8.8,1,17,38.7,48,5.7,2.4,20.7,1
105,103,Josh Reynolds,DET,28,WR,17,13,64,40,62.5%,608,15.2,5,32,56.3,33,9.5,2.4,35.8,1
106,104,Robert Woods,HOU,31,WR,14,11,75,40,53.3%,426,10.7,1,26,45.3,26,5.7,2.9,30.4,0
107,105,Tutu Atwell,LAR,24,WR,16,14,67,39,58.2%,483,12.4,3,26,47.8,44,7.2,2.4,30.2,0
108,106,Chuba Hubbard,CAR,24,RB,17,12,44,39,88.6%,233,6.0,0,9,36.4,25,5.3,2.3,13.7,1
109,107,Tanner Hudson,CIN,29,TE,12,1,50,39,78.0%,352,9.0,1,21,58.0,26,7.0,3.3,29.3,0
110,108,Trey Palmer,TAM,22,WR,17,8,68,39,57.4%,385,9.9,3,17,41.2,54,5.7,2.3,22.6,3
111,109,Khalil Shakir,BUF,23,WR,17,10,45,39,86.7%,611,15.7,2,26,73.3,81,13.6,2.3,35.9,1
112,110,D'Andre Swift*,PHI,24,RB,16,15,49,39,79.6%,214,5.5,1,8,42.9,20,4.4,2.4,13.4,3
113,111,Michael Thomas,NOR,30,WR,10,7,64,39,60.9%,448,11.5,1,21,54.7,31,7.0,3.9,44.8,0
114,112,Dontayvion Wicks,GNB,22,WR,15,6,58,39,67.2%,581,14.9,4,29,62.1,35,10.0,2.6,38.7,3
115,113,Quentin Johnston,LAC,22,WR,17,10,67,38,56.7%,431,11.3,2,20,47.8,57,6.4,2.2,25.4,0
116,114,Josh Palmer,LAC,24,WR,10,6,61,38,62.3%,581,15.3,2,22,47.5,79,9.5,3.8,58.1,1
117,115,Rhamondre Stevenson,NWE,25,RB,12,12,51,38,74.5%,238,6.3,0,8,35.3,34,4.7,3.2,19.8,1
118,116,Michael Wilson,ARI,23,WR,13,12,58,38,65.5%,565,14.9,3,29,56.9,69,9.7,2.9,43.5,0
119,117,Kendrick Bourne,NWE,28,WR,8,5,55,37,67.3%,406,11.0,4,15,49.1,36,7.4,4.6,50.8,1
